MD_EARN_WNE_P10,CCBASIC,CCSIZSET,CCUGPROF,TUITIONFEE_OUT,APPL_SCH_PCT_GE5,FEMALE,PFTFTUG1_EF,ZIP,GT_THRESHOLD_1YR,VETERAN,MARRIED,COMPL_RPY_1YR_RT,COMP_ORIG_YR6_RT,DEP_COMP_ORIG_YR4_RT,WDRAW_ORIG_YR2_RT,NOT1STGEN_COMP_ORIG_YR2_RT,UG25ABV
58572.0,19.0,11.0,11.0,33430.0,0.2132834425,0.5425631431,0.7057,62254-1291,384.0,,0.1188026193,0.6074766355,0.548286604361,0.492346938776,0.140756302521,0.19696969697,0.1878
69800.0,26.0,6.0,5.0,18008.0,0.0478873239,0.8957746479,0.0118,61615,268.0,,0.2,0.712,0.658536585366,0.565789473684,0.109090909091,0.197530864198,0.6323
51262.0,22.0,10.0,11.0,41632.0,0.316851665,0.5449041372,0.7328,62522-2084,350.0,,0.0474268416,0.6885245902,0.561594202899,0.55125284738,0.145557655955,0.071428571429,0.0762
51110.0,21.0,8.0,12.0,42214.0,0.4129158513,0.4598825832,0.8707,61462-1998,141.0,,,0.7547169811,0.628865979381,,0.101123595506,,0.0093
45399.0,24.0,11.0,11.0,16178.0,0.0490045942,0.450229709,0.3556,60610-3284,402.0,,0.2465543645,,0.554104477612,0.580327868852,0.224662162162,0.170289855072,0.2864
43892.0,6.0,4.0,1.0,9630.0,0.1430298147,0.5656728445,0.6307,60465-0937,265.0,0.0076551168,0.0656728445,0.5755102041,0.208613728129,0.182665935272,0.463116542994,0.151515151515,0.1997
63571.0,11.0,1.0,4.0,19400.0,,,0.7576,61270-2959,57.0,,,0.8412698413,0.634146341463,,,,0.0676
42406.0,8.0,2.0,1.0,10900.0,0.1949206349,0.5574603175,0.5631,60804-4398,127.0,0.006984127,0.0476190476,,0.128630705394,0.144859813084,0.504705882353,,0.2439
45799.0,17.0,12.0,7.0,11580.0,0.2811634349,0.7513850416,0.481,60603,671.0,0.0207756233,0.2001385042,0.4438040346,0.471115537849,0.323420074349,0.476910828025,0.335365853659,0.3801
58723.0,26.0,6.0,5.0,,0.1150442478,0.6991150442,,60148-4583,21.0,,0.1150442478,0.3917525773,0.709677419355,,,,0.7742
20303.0,-2.0,-2.0,-2.0,,,,0.4545,60714,,,0.2456140351,,,,,,0.5091
60123.0,20.0,11.0,13.0,43046.0,0.3272727273,0.5386363636,0.6832,60540,570.0,,0.0143939394,0.7571921749,0.699867197875,0.673499267936,0.093837535014,0.177700348432,0.0362
59572.0,18.0,11.0,11.0,34020.0,0.3694581281,0.6128078818,0.753,60625-4895,446.0,,0.0512315271,0.7120315582,0.481989708405,0.543668122271,0.113475177305,0.084507042254,0.0979
57808.0,16.0,16.0,13.0,12662.0,0.2366688611,0.534562212,0.6438,60115-2828,3008.0,0.0049374589,0.0365371955,0.7107925801,0.564079007809,0.533918326021,0.128662035639,0.222844344905,0.1544
89363.0,15.0,16.0,14.0,63468.0,0.4750593824,0.5243467933,0.8994,60208,1992.0,,0.0154394299,0.8903846154,0.891504605937,0.908071748879,0.040909090909,0.112359550562,0.0326
52234.0,18.0,12.0,5.0,22192.0,0.2901408451,0.6059467919,0.4527,60625-4699,1309.0,0.0090766823,0.0713615023,0.6591289782,0.476425438596,0.367647058824,0.259154929577,0.231707317073,0.4277
47852.0,3.0,3.0,1.0,12462.0,0.1533364884,0.5362044487,0.4016,60016-1268,182.0,0.0085186938,0.105537151,0.7209302326,0.174825174825,0.198174706649,0.418843283582,0.12380952381,0.3498
18890.0,-2.0,-2.0,-2.0,,,,1.0,61611,,,,,0.675675675676,,,,0.1556
53213.0,18.0,11.0,10.0,37940.0,0.2108571429,0.6257142857,0.862,60914-2271,797.0,,0.0822857143,0.758043758,0.575221238938,0.582210242588,0.13872255489,0.096926713948,0.0677
38320.0,6.0,3.0,1.0,15930.0,0.11936,0.53728,0.6033,61821-1899,201.0,0.01216,0.07808,0.5788113695,0.194721115538,0.208522212149,0.524129505192,0.150537634409,0.2686
36696.0,6.0,2.0,1.0,11064.0,0.203414457,0.6309480567,0.3952,60411-8226,175.0,0.0105339629,0.0624772975,0.3430656934,0.149683362119,0.166666666667,0.515537848606,0.114155251142,0.3846
30341.0,-2.0,-2.0,-2.0,,,,1.0,60435,,,,,,,,,0.1463
50369.0,22.0,11.0,11.0,31940.0,0.2399380805,0.5386996904,0.75,62301-2699,141.0,,0.040247678,0.6934673367,0.49864498645,0.309677419355,0.15923566879,0.119565217391,0.0853
35775.0,6.0,2.0,2.0,7200.0,0.0594405594,0.5897435897,0.7752,62846,152.0,0.0128205128,0.1282051282,0.5778546713,0.303956834532,0.358024691358,0.418224299065,0.38961038961,0.1803
38793.0,9.0,2.0,1.0,17070.0,0.0583596215,0.619873817,0.5118,62521-8513,140.0,0.0102523659,0.1348580442,0.5786163522,0.182423435419,0.22514619883,0.547169811321,,0.325
39158.0,6.0,3.0,2.0,20384.0,0.0930424043,0.598188555,0.5583,61114-5699,187.0,0.0082338411,0.0922190202,0.619047619,0.197795823666,0.250642673522,0.428137651822,0.272151898734,0.281
54794.0,20.0,10.0,11.0,35050.0,0.2081911263,0.5699658703,0.6022,61108-2311,307.0,,0.0836177474,0.6807228916,0.585227272727,0.491803278689,0.215434083601,0.220588235294,0.1966
48712.0,17.0,13.0,11.0,33068.0,0.3293622985,0.6615276804,0.5287,60605-1394,1010.0,0.009110021,0.0483531885,0.5297619048,0.424818108327,0.443862275449,0.249006622517,0.247093023256,0.2229
60327.0,18.0,9.0,11.0,36500.0,0.4643714972,0.6973578863,0.8016,60305,412.0,,0.0336269015,0.6593001842,0.615499254844,0.501785714286,0.101221640489,0.196428571429,0.1008
75194.0,25.0,9.0,5.0,,,0.7303370787,,60612,223.0,,0.1797752809,,,,,,0.6441
72850.0,26.0,7.0,11.0,,,0.8972972973,,61603-3783,286.0,,0.172972973,0.7783251232,,,,0.609756097561,0.208
63926.0,17.0,10.0,11.0,36000.0,0.2395543175,0.6448467967,0.5206,60435-6188,624.0,,0.0807799443,0.6876227898,0.631355932203,0.635135135135,0.159090909091,0.247311827957,0.2252
86331.0,26.0,6.0,11.0,,,0.8255813953,,62702,84.0,,0.2790697674,,,,,,0.3871
58656.0,18.0,12.0,11.0,35770.0,0.4219483568,0.6649061033,0.7261,60655,748.0,,0.0334507042,0.6548004315,0.597664543524,0.555123216602,0.14674556213,0.178343949045,0.0613
57103.0,18.0,10.0,7.0,21842.0,0.1864280388,0.5704697987,0.3568,62703-5407,510.0,0.0126771066,0.1469052946,0.6345108696,0.520050125313,0.494871794872,0.167950693374,0.282051282051,0.344
40458.0,6.0,2.0,2.0,12840.0,0.0765306122,0.5905612245,0.7162,61021-9112,109.0,,0.1058673469,0.6602564103,0.34188034188,0.282442748092,0.482093663912,0.31914893617,0.238
32999.0,6.0,2.0,2.0,7050.0,0.0569105691,0.5967479675,0.5886,62992,49.0,0.0162601626,0.1105691057,,0.28125,0.266304347826,0.502024291498,,0.2657
35723.0,23.0,6.0,7.0,13288.0,0.0789779326,0.7386759582,0.6224,60640-3501,130.0,,0.2659698026,,0.383429672447,0.385416666667,0.547826086957,,0.6879
33763.0,9.0,2.0,2.0,6480.0,0.0643274854,0.5867446394,0.8223,62946,29.0,0.0623781676,0.1208576998,,0.093457943925,0.094594594595,0.599206349206,,0.1913
37120.0,-2.0,-2.0,-2.0,,,,,60609-2205,,,,,,,,,
38386.0,5.0,2.0,2.0,12450.0,0.1228710462,0.596107056,0.6911,61520-8622,,,0.0912408759,0.5833333333,,,0.587078651685,,0.2286
77709.0,26.0,6.0,7.0,27811.0,,0.8524590164,,61114,155.0,,0.2459016393,,,,,,0.4815
21463.0,-2.0,-2.0,-2.0,,,,1.0,61081-3611,,,0.1016042781,,0.747572815534,0.666666666667,0.360824742268,,0.1429
53390.0,16.0,14.0,11.0,15416.0,0.2152235966,0.4896289248,0.5737,62901-4512,2178.0,0.0064700285,0.0759276879,0.593147135,0.511475409836,0.452167122218,0.154560810811,0.210144927536,0.1966
56346.0,17.0,16.0,13.0,12558.0,0.1554163298,0.5792239289,0.6532,62026-1259,2240.0,0.0060630558,0.0507275667,0.7146927147,0.516582552271,0.469833119384,0.167337087691,0.181340341656,0.1417
25559.0,8.0,1.0,4.0,10650.0,0.1341463415,0.6341463415,0.6136,60601,,,,,0.217391304348,,,,0.5758
33680.0,3.0,2.0,1.0,12683.0,0.2075317233,0.6655751126,0.4257,60473-1200,90.0,0.0090053213,0.0499386001,,0.08866371121,0.072289156627,0.529665587918,,0.2642
55700.0,22.0,8.0,13.0,34325.0,0.1685575365,0.6888168558,0.5639,60463-0929,232.0,,0.113452188,0.811634349,0.586206896552,0.585774058577,0.090322580645,0.126315789474,0.1998
46989.0,17.0,11.0,11.0,33898.0,0.1798418972,0.4308300395,0.5811,60015-1283,154.0,,0.1936758893,0.5939393939,0.4375,0.461988304094,0.252173913043,,0.1431
41728.0,6.0,3.0,1.0,14430.0,0.1719609041,0.6175931582,0.5563,60171-1995,215.0,0.0091631032,0.0607819181,0.5911949686,0.177183240787,0.158424908425,0.487868852459,0.126373626374,0.3689
27084.0,-2.0,-2.0,-2.0,,,0.880866426,0.8889,62704,27.0,,0.1371841155,0.5945945946,0.591666666667,0.615384615385,,,0.351
47863.0,32.0,6.0,11.0,29800.0,,0.4255319149,0.6,60616-3731,32.0,,,0.6944444444,,,,,0.1591
44788.0,6.0,3.0,1.0,11496.0,0.1130195809,0.5781518379,0.5878,60554-9454,252.0,0.0068704912,0.09412573,0.5681818182,0.250722125939,0.224103585657,0.485017421603,0.178723404255,0.2509
82829.0,26.0,6.0,7.0,,0.1412429379,0.8079096045,,60523,659.0,0.0244821092,0.1638418079,0.8116591928,0.892156862745,,,,0.7219
54163.0,18.0,13.0,11.0,14406.0,0.2594102134,0.5614960441,0.6196,61455,1762.0,0.0043155119,0.04363462,0.6818335019,0.565315315315,0.512939958592,0.163783783784,0.1825,0.163
63756.0,21.0,11.0,14.0,42240.0,0.4113573407,0.527700831,0.9145,60187-5593,388.0,,,0.8983666062,0.888361045131,,0.050970873786,0.112852664577,0.0085
48071.0,3.0,4.0,1.0,11754.0,0.0911348398,0.5768562205,0.5773,60067-7398,484.0,0.0089396573,0.1047926496,0.5714285714,0.206498503634,0.191473988439,0.400386847195,0.22305764411,0.2721
48899.0,20.0,11.0,10.0,34080.0,0.2019543974,0.5635179153,0.859,46012-3495,340.0,,0.0727470141,0.7212837838,0.535123966942,0.582245430809,0.182825484765,0.102941176471,0.0777
51833.0,16.0,16.0,10.0,27924.0,0.1518426157,0.5982266556,0.8652,47306,3258.0,0.0015239679,0.0271543364,0.6867559524,0.60878771837,0.590840614643,0.152618453865,0.080029368576,0.0508
48860.0,20.0,11.0,10.0,32040.0,0.1729518856,0.6631989597,0.7159,46545-5591,343.0,,0.1430429129,0.4428571429,0.50652173913,0.610526315789,0.219584569733,0.116071428571,0.1385
77235.0,18.0,14.0,14.0,44460.0,0.3892339545,0.6011042098,0.9375,46208,634.0,,,0.8679039301,0.808943089431,,0.052790346908,0.035989717224,0.0095
46945.0,20.0,6.0,7.0,21650.0,0.2176165803,0.5025906736,0.467,46394,74.0,,0.0984455959,0.3375,0.372413793103,0.285714285714,0.360294117647,,0.304
43927.0,13.0,1.0,1.0,10080.0,,0.9371428571,0.0741,46385,,,0.32,0.4666666667,0.231707317073,,0.396551724138,,0.9128
22374.0,-2.0,-2.0,-2.0,,0.0833333333,,0.6,46322,46.0,,0.0805555556,,0.743243243243,0.759493670886,0.255434782609,,0.3818
70527.0,21.0,11.0,12.0,55410.0,0.5921696574,0.5024469821,0.9853,46135-1772,259.0,,,0.8755760369,0.826315789474,,0.066869300912,,0.0023
19976.0,-2.0,-2.0,-2.0,,,,1.0,46375,,,0.2542372881,0.5714285714,0.666666666667,,,,0.2222
50797.0,21.0,8.0,12.0,50058.0,0.6612903226,0.5752688172,0.9351,47374-4095,58.0,,,0.8105263158,0.58064516129,,0.102325581395,,0.0061
53770.0,19.0,11.0,12.0,41336.0,0.2464698331,0.6136071887,0.8687,47722,284.0,,0.0231065469,0.7819767442,0.647058823529,0.645429362881,0.094285714286,,0.0585
55376.0,21.0,8.0,10.0,36136.0,0.225433526,0.4662813102,0.9074,46131-2623,189.0,,,0.7435064935,0.64312267658,,0.131086142322,,0.0145
51943.0,22.0,8.0,11.0,36660.0,0.1514423077,0.6706730769,0.7933,46526-4794,160.0,,0.1490384615,0.8540145985,0.583333333333,0.532894736842,0.1484375,,0.1041
45411.0,19.0,11.0,12.0,29048.0,0.1649484536,0.6288659794,0.8829,46590-1274,290.0,,0.0973654066,0.7910447761,0.647058823529,0.648351648352,0.1875,0.287769784173,0.0688
53957.0,21.0,11.0,12.0,41559.0,0.3683127572,0.5308641975,0.9365,47243,154.0,,,0.7407407407,0.690839694656,,0.091872791519,,0.004
26999.0,-2.0,-2.0,-2.0,,,,1.0,47807,,,0.1948051948,,0.63768115942,,,,0.3282
50416.0,21.0,8.0,14.0,34800.0,0.3388157895,0.4013157895,0.9588,46556-0308,49.0,,,0.6630434783,0.5,0.434108527132,0.095588235294,,0.0556
22402.0,-2.0,-2.0,-2.0,,0.0621468927,,0.9737,47129,20.0,,0.1920903955,,0.56,0.631578947368,,,0.3527
46672.0,20.0,11.0,10.0,28830.0,0.1472684086,0.6627078385,0.8051,46750,177.0,,0.0783847981,0.8643410853,0.621848739496,0.614583333333,0.160642570281,0.12,0.0893
37186.0,6.0,5.0,1.0,8927.0,0.0736975548,0.6276603525,0.3121,46208-5752,4343.0,0.0085326312,0.1510519515,0.4092563703,0.149857181719,0.141150611621,0.581584292485,0.128104059913,0.2991
45872.0,19.0,12.0,10.0,21573.0,0.1087621697,0.5872044506,0.7645,46805-1499,1187.0,0.0044506259,0.0531293463,0.6541666667,0.386452241715,0.304605263158,0.32119205298,0.099352051836,0.1205
55198.0,16.0,15.0,11.0,32582.0,0.107398568,0.609940853,0.7474,46202-5143,4477.0,0.0039431358,0.0596658711,0.6288659794,0.458616483708,0.433103095421,0.198584428716,0.133526850508,0.1728
53610.0,17.0,14.0,10.0,34972.0,0.1826333176,0.6753185465,0.7953,46227-3697,918.0,,0.0486078339,0.6608187135,0.514780835882,0.54555808656,0.17568627451,0.093484419263,0.077
47327.0,18.0,10.0,12.0,29560.0,0.0808907811,0.6610447028,0.858,46803-1228,603.0,0.0135909612,0.1454069101,0.4159663866,0.127740303541,0.189655172414,0.587711069418,0.051792828685,0.0283
47605.0,18.0,13.0,11.0,22255.0,0.1056958309,0.6409277745,0.7613,47712,1457.0,,0.0393423371,0.7149321267,0.454301075269,0.417312661499,0.215128755365,0.12955465587,0.0903
48387.0,17.0,13.0,10.0,21160.0,0.1627945847,0.5856593682,0.7396,47809,1986.0,0.0036770851,0.0808958716,0.6518010292,0.416472932581,0.38273993808,0.253735990037,0.106138107417,0.2064
49917.0,20.0,9.0,11.0,21301.0,0.0960307298,0.6779769526,0.7001,46902-9003,513.0,0.0070422535,0.1370038412,0.6315789474,0.426787741203,0.334482758621,0.260442260442,0.141975308642,0.1615
44947.0,19.0,12.0,7.0,21301.0,0.1307053942,0.6282157676,0.6559,46615-7111,819.0,0.0058091286,0.0684647303,0.6111111111,0.356174161313,0.272532188841,0.319233838787,0.108,0.2147
63742.0,15.0,16.0,12.0,39120.0,0.2261267291,0.5315707274,0.9345,47405-7000,4663.0,0.0012271307,0.0094823739,0.789080728,0.654597819379,0.658515840953,0.087436332767,0.077026421854,0.0174
43361.0,20.0,9.0,7.0,21301.0,0.1212458287,0.7057842047,0.6325,46408-1197,548.0,0.0111234705,0.0723025584,0.5086206897,0.309076042518,0.303907380608,0.279096045198,0.138364779874,0.2416
47596.0,19.0,12.0,7.0,21301.0,0.1009329941,0.6458863444,0.6589,47150,555.0,,0.0835453774,0.6144578313,0.31799729364,0.254089422028,0.371644295302,0.080152671756,0.2322
47156.0,20.0,9.0,7.0,21301.0,0.0980847359,0.6784677887,0.489,47374-1289,703.0,,0.2060359837,0.5013333333,0.442386831276,0.401315789474,0.213836477987,0.227722772277,0.4053
38146.0,7.0,1.0,4.0,15280.0,0.0408415842,0.7797029703,0.6275,46256-3954,208.0,,0.0445544554,0.7102199224,0.751578947368,0.695266272189,0.233727810651,0.760869565217,0.125
14236.0,-2.0,-2.0,-2.0,,,,0.2,46534,,,,,,,,,0.0769
26446.0,-2.0,-2.0,-2.0,,0.0705645161,0.9375,,47901,100.0,,0.125,,0.644578313253,0.726315789474,0.241758241758,0.642857142857,0.4519
46396.0,11.0,2.0,4.0,,0.0230352304,0.0790747193,0.996,46268,4019.0,0.016453736,0.1119821913,0.4795890031,0.61568627451,0.699413036762,0.295415224913,0.672222222222,0.3672
51504.0,20.0,11.0,12.0,35772.0,0.2608695652,0.5366847826,0.8955,46962,186.0,,,0.76875,0.46783625731,,0.173913043478,,0.0173
58759.0,17.0,13.0,12.0,37600.0,0.1898454746,0.6651949963,0.6794,46222-1997,838.0,,0.1434878587,0.6089108911,0.412563667233,0.554621848739,0.085889570552,0.343629343629,0.2849
59986.0,20.0,11.0,12.0,29684.0,0.0847232472,0.7298892989,0.8978,46953-4974,2636.0,0.0156457565,0.3266420664,0.5791015625,0.469792605951,0.573870573871,0.28373191615,0.19696969697,0.0256
22544.0,21.0,6.0,5.0,13200.0,,0.6976744186,0.1667,46218-0567,21.0,,0.1488372093,0.1219512195,,,0.467289719626,,0.8444
44505.0,30.0,6.0,10.0,18000.0,,0.6947368421,0.4595,47130,68.0,,0.2421052632,,0.589743589744,,0.270833333333,,0.7011
99980.0,15.0,17.0,14.0,60301.0,0.6502082094,0.4604402142,0.9151,46556,1483.0,,,0.933033202,0.950146627566,,0.016597510373,0.105337078652,0.0011
43283.0,17.0,8.0,11.0,26400.0,0.0960264901,0.5695364238,0.6477,47660-1099,145.0,,0.1953642384,0.7345132743,0.598930481283,0.530864197531,0.221518987342,,0.0648
24039.0,-2.0,-2.0,-2.0,,,,0.4091,47374,,,0.2666666667,,,,,,0.3774
23187.0,-2.0,-2.0,-2.0,,,0.7464285714,0.4737,46835,18.0,,0.1535714286,,0.512396694215,0.45652173913,0.363636363636,,0.5205
22590.0,-2.0,-2.0,-2.0,,,0.6691176471,1.0,47708,,,0.2352941176,0.375,0.488888888889,,,,0.2569
101253.0,28.0,11.0,14.0,54602.0,0.4119547658,0.2859450727,0.9724,47803-3920,467.0,,,0.9490196078,0.850877192982,,0.047619047619,,0.0034
55362.0,19.0,9.0,10.0,34050.0,0.1313220941,0.7222715173,0.7238,46808-3994,494.0,,0.1251109139,0.6497622821,0.554404145078,0.55,0.157980456026,0.182926829268,0.1912
43845.0,20.0,7.0,11.0,32700.0,0.0680751174,0.9131455399,0.6419,47876-1099,188.0,,0.2605633803,0.5182926829,0.483870967742,0.559523809524,0.139194139194,0.3625,0.3203
59354.0,21.0,11.0,12.0,49930.0,0.4811165846,,0.9543,46556,235.0,,,0.8785249458,0.770897832817,,,,0.0086
65230.0,-2.0,-2.0,-2.0,20064.0,,,1.0,47904-9988,59.0,,0.2063492063,0.6548672566,0.563218390805,,,,0.5256
52198.0,22.0,11.0,12.0,37476.0,0.1787175989,0.6016371078,0.9318,46989-1001,279.0,,0.0572987722,0.8770301624,0.671309192201,,0.146408839779,0.106481481481,0.0108
57165.0,22.0,11.0,12.0,34890.0,0.2047244094,0.3919510061,0.9158,46703-1764,513.0,,0.094488189,0.6848673947,0.581395348837,0.574193548387,0.10541727672,0.135593220339,0.0121
63191.0,17.0,11.0,12.0,44796.0,0.3717171717,0.571043771,0.8238,46383,864.0,,0.030976431,0.7954256671,0.721794871795,0.725663716814,0.081784386617,0.127976190476,0.0307
20064.0,-2.0,-2.0,-2.0,,,,0.5263,47591,,,,,0.44,,,,0.1905
41110.0,23.0,13.0,6.0,15739.0,0.1055276382,0.4518243391,0.7933,47591,581.0,0.0052436094,0.0989731265,0.6310845431,0.262267343486,0.259471871412,0.473263368316,0.217877094972,0.0815
69952.0,21.0,8.0,12.0,47475.0,0.4867256637,,0.9736,47933-0352,152.0,,,0.7342342342,0.698412698413,,0.094240837696,,0.0012
71261.0,26.0,6.0,11.0,20008.0,,0.8846153846,,50703-1999,75.0,,0.1230769231,0.8716814159,0.632258064516,0.769230769231,0.386666666667,,0.1561
54475.0,17.0,8.0,11.0,34498.0,0.1729559748,0.570754717,0.8529,51104,117.0,,0.1336477987,0.7902097902,0.351265822785,0.335,0.201807228916,0.215053763441,0.1084
49156.0,19.0,11.0,13.0,38644.0,0.0799396682,0.6892911011,0.5413,50588,548.0,,0.2413273002,0.6103092784,0.4977827051,0.629526462396,0.127941176471,0.326424870466,0.3141
28266.0,-2.0,-2.0,-2.0,,0.0386100386,0.9536679537,1.0,52004-0873,23.0,,0.1042471042,0.5971223022,0.757142857143,,,,0.4324
29307.0,-2.0,-2.0,-2.0,,,0.9306930693,1.0,52404,44.0,,0.1188118812,0.5520833333,0.775700934579,0.7,0.168224299065,,0.2153
54317.0,21.0,11.0,10.0,19800.0,0.1730103806,0.4896193772,0.9046,50219,211.0,,,0.8109339408,0.608058608059,,0.10067114094,,0.0079
55396.0,17.0,8.0,11.0,38060.0,0.1666666667,0.6086956522,0.7148,52001-3198,153.0,,0.0338164251,0.7843137255,0.59595959596,0.51690821256,0.099099099099,0.152777777778,0.0363
57125.0,21.0,11.0,12.0,50664.0,0.3870967742,0.5747800587,0.9332,52402-5092,250.0,,,0.7989276139,0.640540540541,,0.116343490305,,0.0102
53460.0,21.0,8.0,12.0,49158.0,0.4494382022,0.4674157303,0.9216,52314-1098,131.0,,,0.7401315789,0.683333333333,,0.099173553719,,0.0086
41018.0,6.0,5.0,1.0,10680.0,0.0436137072,0.547203034,0.4278,50023-3993,1272.0,0.0066368685,0.1060544494,0.5266482432,0.263707571802,0.301268931641,0.477366255144,0.300366300366,0.1791
52559.0,20.0,11.0,12.0,34600.0,0.1182795699,0.482078853,0.9379,51250-1606,310.0,,,0.9387755102,0.642642642643,,0.091205211726,0.094240837696,0.0111
71901.0,17.0,14.0,12.0,47912.0,0.3301393728,0.6097560976,0.9036,50311-4505,519.0,,0.0261324042,0.8587443946,0.432766615147,0.623916811092,0.095320623917,0.095890410959,0.0407
51190.0,19.0,11.0,10.0,38526.0,0.2145421903,0.4245960503,0.7707,52001,339.0,0.0107719928,0.0745062837,0.7257019438,0.426202321725,0.334811529933,0.227810650888,0.149171270718,0.1782
40562.0,4.0,2.0,3.0,6192.0,0.125588697,0.409733124,0.81,50126,57.0,,0.043956044,0.4356435644,0.194711538462,0.349593495935,0.356687898089,0.412698412698,0.1134
42631.0,22.0,8.0,10.0,19800.0,0.1355932203,0.5593220339,0.6825,52001-3096,32.0,,,,0.58,,0.186440677966,,0.0881
39060.0,6.0,3.0,1.0,6096.0,0.0418831169,0.6269480519,0.5425,52801-1221,404.0,0.0071428571,0.1301948052,0.5193889542,0.220588235294,0.239386792453,0.511016346837,0.224669603524,0.1898
40650.0,22.0,8.0,12.0,18740.0,,0.5714285714,0.8548,50023-2152,30.0,,,,0.465517241379,,0.186046511628,0.28,0.0547
47361.0,18.0,11.0,11.0,31970.0,0.1753325272,0.5477629988,0.7063,50140,297.0,,0.1402660218,0.5933333333,0.524654832347,0.475609756098,0.149253731343,0.211538461538,0.1097
52824.0,20.0,11.0,11.0,32068.0,0.1154562384,0.5456238361,0.6238,50316,469.0,,0.0772811918,0.6786206897,0.602218700475,0.551558752998,0.146384479718,0.20245398773,0.1672
62830.0,21.0,11.0,14.0,61480.0,0.6046511628,0.5348837209,0.9865,50112-1690,165.0,,,0.9054054054,0.879518072289,,0.066666666667,,0.0017
37008.0,28.0,6.0,11.0,15600.0,,0.6030150754,0.6563,52807,104.0,,0.1909547739,0.3962962963,0.7265625,,,,0.4854
42849.0,8.0,3.0,1.0,6583.0,0.0338071456,0.5343834038,0.6764,50701,391.0,0.006915098,0.0883595851,0.5939393939,0.289423685877,0.249422632794,0.460548885077,0.245210727969,0.1325
28724.0,-2.0,-2.0,-2.0,,,,1.0,52641,,,,,,,,,0.3462
40507.0,8.0,3.0,2.0,6120.0,0.0376190476,0.509047619,0.7434,52501,333.0,0.0076190476,0.1352380952,0.4423076923,0.304115853659,0.392909896603,0.435465768799,0.375634517766,0.1258
42046.0,5.0,3.0,2.0,7398.0,0.0848380625,0.4674691889,0.7146,50501,487.0,0.0034393809,0.1031814273,0.6261363636,0.271457085828,0.314150943396,0.389655172414,0.3875,0.1453
43108.0,8.0,2.0,1.0,7452.0,0.0549682875,0.4926004228,0.8028,51334-2295,141.0,,0.0877378436,0.6546610169,0.142156862745,0.114666666667,0.415053763441,0.373831775701,0.0932
25803.0,-2.0,-2.0,-2.0,,,0.9295774648,1.0,50322-3203,25.0,,0.1549295775,0.4,0.648148148148,,,,0.2083
63386.0,15.0,16.0,13.0,26617.0,0.1152806965,0.4624236966,0.7992,50011-2103,6018.0,0.0018012609,0.0166116281,0.8057604496,0.692644483363,0.66457925636,0.100964265457,0.127052384676,0.0399
47217.0,22.0,8.0,10.0,34700.0,0.3611859838,0.460916442,0.6861,52641,72.0,,0.0673854447,0.6376811594,0.365168539326,,0.225806451613,,0.0907
42793.0,6.0,3.0,2.0,6690.0,0.0902431878,0.5399941401,0.6813,51503-1057,454.0,0.0058599473,0.1007910929,0.5908141962,0.264239028945,0.246563573883,0.480736055204,0.288343558282,0.1717
64762.0,15.0,16.0,12.0,32316.0,0.162053851,0.5623043206,0.8295,52242-1316,3996.0,0.0017532874,0.0333124609,0.7635152447,0.662007268661,0.644351464435,0.105961863384,0.122077922078,0.0583
41016.0,8.0,4.0,1.0,7604.0,0.0526978134,0.5326411829,0.6213,52406-2068,896.0,0.0061349693,0.1274185937,0.577262181,0.252374100719,0.241345685032,0.479828042328,0.286919831224,0.19
25575.0,-2.0,-2.0,-2.0,,,,1.0,50613,,,0.2352941176,,0.581395348837,,,,0.3478
27401.0,-2.0,-2.0,-2.0,,,,1.0,50131,,,0.1869918699,0.4015748031,0.569230769231,,,,0.4348
27484.0,-2.0,-2.0,-2.0,,,,1.0,50401-3308,,,0.1392405063,0.44,0.5,,,,0.3636
26679.0,-2.0,-2.0,-2.0,,,,1.0,50501,,,0.1388888889,,0.574074074074,,,,0.3571
58289.0,22.0,11.0,12.0,36570.0,0.2811550152,0.4635258359,0.8537,52004-0178,248.0,,,0.8466819222,0.606382978723,,0.064308681672,0.099290780142,0.0617
59850.0,21.0,11.0,12.0,48160.0,0.2985436893,0.5242718447,0.9524,52101-1045,353.0,,,0.8519637462,0.718940936864,,0.086734693878,,0.004
27981.0,18.0,10.0,7.0,16530.0,,0.5287356322,0.0885,52557,20.0,,,0.5285714286,0.358024691358,,0.208333333333,,0.6947
41010.0,6.0,2.0,1.0,5688.0,0.0612777053,0.5880052151,0.6803,50158,110.0,,0.1329856584,0.512605042,0.316143497758,0.433333333333,0.416149068323,0.43137254902,0.126
62234.0,26.0,6.0,7.0,16632.0,0.0415944541,0.863084922,0.1237,50309-1239,361.0,,0.1802426343,0.7794117647,0.503597122302,0.662420382166,0.170568561873,0.387096774194,0.5268
55494.0,18.0,11.0,12.0,36610.0,0.1334951456,0.5776699029,0.8439,51106-1751,601.0,,0.1128640777,0.8283378747,0.574257425743,0.527624309392,0.127139364303,0.158273381295,0.0755
60787.0,19.0,10.0,9.0,37606.0,0.0896551724,0.7172413793,0.5831,52402-4797,521.0,,0.1505747126,0.7531305903,0.716707021792,0.655629139073,0.116228070175,0.208633093525,0.245
35404.0,17.0,15.0,11.0,13160.0,0.0468297576,0.7799183785,0.1538,92123,6085.0,0.0189690158,0.2958892866,0.3408300853,0.20326415818,0.149397590361,0.469045311364,0.118015665796,0.8484
