INSTNM,MD_EARN_WNE_P10,CCBASIC,CCSIZSET,CCUGPROF,TUITIONFEE_OUT,APPL_SCH_PCT_GE5,FEMALE,PFTFTUG1_EF,GT_THRESHOLD_1YR,VETERAN,MARRIED,COMPL_RPY_1YR_RT,COMP_ORIG_YR6_RT,DEP_COMP_ORIG_YR4_RT,WDRAW_ORIG_YR2_RT,NOT1STGEN_COMP_ORIG_YR2_RT,UG25ABV
Bunker Hill Community College,47618.0,1.0,4.0,1.0,10224.0,0.1561258278,0.5710264901,0.3166,547.0,0.0100993377,0.1144039735,0.602739726,0.193305439331,0.149168100975,0.498080279232,0.121107266436,0.4276
Cambridge College,45998.0,18.0,9.0,5.0,17190.0,0.0622406639,0.7427385892,,202.0,0.0394190871,0.2116182573,0.3496503497,0.377431906615,,0.311557788945,,0.8026
Cape Cod Community College,43670.0,5.0,2.0,1.0,10536.0,0.0990023024,0.5924788949,0.3259,163.0,0.0084420568,0.1174213354,0.6610169492,0.245197740113,0.219444444444,0.531343283582,0.185185185185,0.4139
Laboure College of Healthcare,62200.0,26.0,6.0,5.0,32813.0,0.0932982917,0.9053876478,0.0041,270.0,0.0157687254,0.2220762155,0.5204081633,0.584112149533,0.587301587302,0.166666666667,0.506329113924,0.8555
Clark University,62381.0,16.0,14.0,14.0,52352.0,0.7698412698,0.6560846561,0.925,328.0,,,0.836036036,0.760775862069,,0.115740740741,,0.0139
Curry College,54400.0,20.0,11.0,10.0,44920.0,0.4577874818,0.6135371179,0.8589,646.0,,0.0633187773,0.734375,0.561827956989,0.498161764706,0.135317997294,0.117647058824,0.1732
Lincoln Technical Institute-Somerville,31914.0,-2.0,-2.0,-2.0,,0.0373817745,0.7624981234,0.9648,1699.0,0.0132112295,0.1438222489,0.3156558533,0.677970065482,0.693173293323,0.190395956192,0.700892857143,0.2523
Dean College,38109.0,22.0,11.0,12.0,43400.0,0.3668224299,0.4042056075,0.8571,132.0,,,0.58,0.416149068323,0.445520581114,0.206208425721,0.144,0.0796
National Aviation Academy of New England,59009.0,-2.0,-2.0,-2.0,,,0.0511627907,1.0,178.0,0.1488372093,0.2186046512,0.5346938776,0.676691729323,0.65625,,,0.5021
Eastern Nazarene College,54727.0,20.0,8.0,11.0,27990.0,0.2876712329,0.5643835616,0.7273,112.0,,0.0684931507,0.7171717172,0.452,0.513274336283,0.238578680203,,0.1199
Emerson College,62832.0,18.0,14.0,14.0,53232.0,0.6143079316,0.6143079316,0.8427,559.0,,,0.7843137255,0.808959156785,,0.045454545455,0.109263657957,0.0143
Emmanuel College,68245.0,21.0,11.0,12.0,44908.0,0.7123152709,0.7566502463,0.8861,439.0,,,0.7415730337,0.70636550308,,0.079295154185,0.113989637306,0.0273
Endicott College,58336.0,18.0,14.0,12.0,37776.0,0.5398818316,0.6322008863,0.9165,825.0,,0.0199409158,0.8597560976,0.718600953895,0.769953051643,0.066848567531,0.064516129032,0.0443
Rob Roy Academy-Fall River,32113.0,-2.0,-2.0,-2.0,,,0.5660377358,0.7037,,,,0.3157894737,0.5,,,,0.5167
Fisher College,49669.0,22.0,7.0,5.0,34150.0,0.3042035398,0.6935840708,0.652,243.0,0.0110619469,0.1117256637,0.5569620253,0.325242718447,0.346801346801,0.315294117647,,0.3951
Fitchburg State University,53874.0,18.0,13.0,7.0,17001.0,0.3224016145,0.534308779,0.6206,1164.0,,0.0423814329,0.7310267857,0.538674033149,0.52397260274,0.152362584378,0.14347826087,0.2087
Framingham State University,52349.0,18.0,14.0,11.0,17460.0,0.4329738059,0.5988700565,0.6991,858.0,0.0051361068,0.0333846944,0.8046511628,0.590027700831,0.483296213808,0.17148554337,0.136170212766,0.1419
Benjamin Franklin Cummings Institute of Technology,57556.0,23.0,6.0,6.0,18228.0,0.1696428571,0.1107142857,0.5929,167.0,,0.0696428571,0.5458333333,0.52380952381,0.453551912568,0.361313868613,0.46875,0.3109
Gordon College,52119.0,21.0,11.0,12.0,27040.0,0.3787638669,0.6497622821,0.8525,237.0,,,0.8657534247,0.648293963255,,0.105263157895,,0.0263
Greenfield Community College,37132.0,5.0,2.0,1.0,11762.0,0.0876993166,0.6184510251,0.2799,155.0,0.0125284738,0.1218678815,0.6610878661,0.290265486726,0.313636363636,0.498734177215,0.285714285714,0.425
Hampshire College,46938.0,21.0,8.0,13.0,54452.0,0.5719178082,0.6678082192,0.8636,110.0,,,0.7067901235,0.655172413793,,0.14,0.109677419355,0.0403
